,Locality,Type of Property,Sub Type,Price,Type of Sale,No of Rooms,Area(sqft),Equipped(Y/N),Furnished(Y/N),Open Fire(Y/N),Terrace Area,Garden Area,Surface of the Land(sqft),Surface area of the Plot(sqft),No of Facades,Simming Pool(Y/N),State of the Building
19, Keerbergen, House,Historic Estate," 3,025,000 ", House,19,"13,594.82",,,,,,,"45,811.2",,Y,None
20, South and surroundings, House,Villa," 2,995,000 ", House,10,"7,061.13",,,,,,,"18,072.61",,Y,None
21, Bruges, House,Investment / Residential investment," 2,995,000 ", House,18,"21,344.83",,,,,,,"16,092.05",,Y,None
22, Bruges, House,Historic Estate," 2,995,000 ", House,25,"13,454.89",,,,,,,"6,910.43",,Y,None
23, Zuid en omstreken, Huis,Villa," 2,990,000 ", Huis,9,"5.381,96",,,,,,,"26.909,78",,Y,None
24, Antwerpen-Centrum , Huis,Huis," 2,950,000 ", Huis,13,"7.491,68",,,,,,,"2,950,000",,Y,None
25, East and surroundings, House,Historic Estate," 2,900,000 ", House,13,"9,149.32",,,,,,,54.36,,Y,None
26, East and surroundings , House,Historic Estate," 2,900,000 ", House,13,"9,149.32",,,,,,,54.36,,Y,None
27, Sud et péripherie, Maison,Villa," 2,900,000 ", Maison,8,4,,,,,,,48,,Y,None
28, Bruges, House,Historic Estate," 2,870,000 ", House,8,"5,790.98",,,,,,,"4,251.74",,Y,None
29, Antwerpen-Noord, Huis,Villa," 2,850,000 ", Huis,12,"8.072,93",,,,,,,"9,14",,Y,None
30, Antwerpen-Noord, Huis,Villa," 2,795,000 ", Huis,9,"9.515,3",,,,,,,"32.291,73",,Y,None
31, Antwerpen-Zuid, Huis,Villa," 2,750,000 ", Huis,11,"11.000,72",,,,,,,"12.679,89",,Y,None
32, Antwerpen-Centrum, House,House," 2,750,000 ", House,15,"7,674.67",,,,,,,"2,750,000",,Y,None
33, Antwerpen-Noord, Huis,Villa," 2,750,000 ", Huis,12,"9.149,32",,,,,,,"55,43",,Y,None
34, Bruges, House,Hotel," 2,600,000 ", House,16,"5,468.07",,,,,,,"11,226.76",,Y,None
